room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
1,0.44,425.00,74.00,5,5,4.91,11
1,0.25,106.00,164.00,4.9,4.9,5,10
1,1.00,107.00,148.00,4.93,4.99,5,83
1,0.91,132.00,31.00,4.8,4.91,4.96,335
1,1.00,179.00,118.00,4.98,4.98,4.97,114
1,0.81,175.00,0.00,4.91,4.98,4.98,181
1,0.96,236.00,213.00,4.89,4.97,4.93,146
2,0.69,149.00,31.00,4.75,4.83,4.74,48
1,0.93,280.00,105.00,4.95,4.91,4.92,67
1,1.00,150.00,16.00,4.96,4.8,4.99,244
1,0.00,189.00,140.00,4.98,5,4.98,51
1,0.96,73.00,147.00,4.98,4.96,5,106
1,0.89,300.00,291.00,4.85,4.79,4.9,283
1,0.00,75.00,179.00,4.98,4.99,4.99,0
1,1.00,164.00,30.00,4.98,4.99,4.99,127
1,0.90,141.00,23.00,4.89,4.94,4.94,20
1,0.90,155.00,0.00,4.78,4.74,4.93,57
1,1.00,55.00,0.00,4.93,4.7,4.96,46
2,0.00,110.00,0.00,4.81,4.74,4.91,47
1,0.00,107.00,20.00,4.92,4.92,4.89,130
1,0.99,183.00,347.00,4.87,4.89,4.87,352
1,0.69,130.00,354.00,4.84,5,4.93,87
1,0.89,215.00,243.00,4.98,4.93,4.98,252
2,0.00,60.00,14.00,4.79,5,5,14
1,0.96,132.00,321.00,4.8,4.63,4.93,152
1,1.00,141.00,306.00,4.92,4.9,4.95,444
1,0.97,199.00,45.00,4.98,4.94,4.96,181
1,1.00,250.00,174.00,4.79,4.81,4.94,206
2,0.93,220.00,112.00,5,4.97,4.99,110
1,0.00,400.00,48.00,4.95,4.91,4.98,86
1,1.00,99.00,332.00,4.83,4.83,4.98,0
2,1.00,589.00,0.00,4.83,4.83,4.98,41
1,1.00,75.00,5.00,4.87,4.94,4.97,180
1,1.00,99.00,188.00,4.93,4.99,4.92,75
1,0.94,254.00,356.00,4.86,4.86,4.97,95
1,0.96,213.00,0.00,4.81,4.9,4.99,69
1,0.98,99.00,0.00,4.92,4.95,5,74
2,0.98,200.00,292.00,4.98,4.97,4.99,188
1,1.00,175.00,103.00,4.96,4.96,5,25
1,1.00,145.00,2.00,4.94,4.85,4.98,247
1,0.98,160.00,33.00,4.94,4.96,4.97,367
1,0.91,358.00,66.00,4.99,4.98,5,92
1,0.18,249.00,363.00,4.7,4.81,4.57,43
2,0.97,107.00,74.00,4.9,4.84,4.93,158
1,0.97,131.00,166.00,4.73,4.8,4.94,54
1,0.17,180.00,343.00,4.71,4.71,5,7
1,1.00,119.00,160.00,4.95,4.99,4.99,97
1,0.94,135.00,181.00,4.98,4.99,4.99,114
1,1.00,173.00,266.00,4.84,4.8,4.94,204
2,0.93,210.00,112.00,4.96,4.99,5,71
1,0.94,161.00,248.00,4.9,4.96,4.95,234
1,0.50,60.00,324.00,4.86,4.91,4.95,221
2,0.97,95.00,74.00,4.88,4.88,4.91,152
2,0.97,195.00,70.00,4.8,4.81,4.85,80
1,0.64,190.00,261.00,4.6,4.45,4.85,20
2,0.92,140.00,356.00,4.77,4.86,4.82,90
2,0.57,85.00,71.00,4.62,4.82,4.93,269
1,0.94,150.00,40.00,4.93,4.76,4.81,44
1,0.75,250.00,352.00,4.78,4.98,4.96,50
1,1.00,125.00,362.00,4.88,4.97,4.98,234
2,0.94,200.00,362.00,4.94,4.9,4.96,113
1,0.87,243.00,7.00,5,5,4.67,3
1,1.00,200.00,95.00,4.76,4.76,4.89,66
2,0.98,75.00,51.00,4.35,4.06,4.47,17
1,0.99,175.00,77.00,4.96,4.91,4.95,93
1,1.00,614.00,327.00,4.96,4.87,4.83,52
1,1.00,73.00,0.00,4.88,4.88,4.92,34
1,1.00,188.00,289.00,4.87,4.85,4.87,378
1,0.87,400.00,337.00,4.91,4.87,4.89,139
2,0.00,42.00,230.00,4.93,4.88,5,59
1,0.98,165.00,171.00,4.97,4.72,4.98,330
1,0.87,170.00,159.00,4.76,4.82,4.92,63
1,0.00,250.00,233.00,4.87,4.84,4.96,47
1,0.98,381.00,267.00,4.62,4.86,4.86,21
1,0.67,112.00,205.00,4.75,4.71,4.91,167
